cik,year,file_name,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
1750,2017,1750_000104746917004528_a2232622z10-k.htm.txt,0.030895017,0.019142602,0.027979046,0.0071046464,0.12651993,0.018401384,0.029714227,0.03414916,0.046478357,0.052654196,0.07316014,0.022658883,0.08048548,0.021242814,0.025273321,0.08996701,0.03270326,0.04503097,0.13665418,0.079785354
1800,2017,1800_000104746918000856_a2234264z10-k.htm.txt,0.02330446,0.016378906,0.026566245,0.019590758,0.09682837,0.12333612,0.036718424,0.072810225,0.016578028,0.056636468,0.040840384,0.026948528,0.04278048,0.02659484,0.052932695,0.11213389,0.0350915,0.04562495,0.09627032,0.032034382
2186,2017,2186_000165495418002205_rwc_10k.htm.txt,0.023920657,0.017364012,0.009340043,0.01282013,0.08921847,0.024672804,0.03606556,0.086892836,0.047078464,0.06364257,0.041958187,0.004932004,0.0057526845,0.011196858,0.05558808,0.120489225,0.01068502,3.1033363e-05,0.31202713,0.026324224
2488,2017,2488_000000248818000042_amd-12302017x10k.htm.txt,0.056176115,0.02957979,0.039437205,0.023894457,0.056393348,0.040533714,0.030461004,0.046364576,0.04314506,0.060158215,0.08638142,0.037976258,0.05167652,0.064063385,0.04225361,0.072330266,0.0065191793,0.055213254,0.10567226,0.05177038
2969,2017,2969_000000296917000039_apd-10xkx30sep2017.htm.txt,0.032627944,0.009578901,0.09635818,0.01191347,0.093089715,0.011144176,0.038156476,0.0200132,0.094523326,0.046406265,0.03707187,0.014344851,0.120021276,0.02079691,0.09311883,0.06862267,0.010337174,0.05079864,0.08214834,0.04892774
3197,2017,3197_000156459018005085_cece-10k_20171231.htm.txt,0.04513197,0.0189397,0.09813835,0.011772874,0.10294544,0.009213742,0.023440177,0.039762467,0.051328596,0.04265727,0.06727624,0.024945065,0.13196598,0.018473659,0.061541077,0.06195807,0.010177378,0.038657345,0.080461025,0.061213605
3453,2017,3453_000155837018001004_matx-20171231x10k.htm.txt,0.032220922,0.036951877,0.073978215,0.0125605,0.095942564,0.015758881,0.052801076,0.018478153,0.037355583,0.10509181,0.03649222,0.0226857,0.09170751,0.019230004,0.092848256,0.027523668,0.026321357,0.05001485,0.0893268,0.0627101
3499,2017,3499_000000349918000006_alx10-k123117.htm.txt,0.0645869,0.020799538,0.056928903,0.015726067,0.068214,0.011600501,0.029779471,0.031005133,0.019824315,0.08113724,0.0119275935,0.027194288,0.07482641,0.050508283,0.048923444,0.02270378,0.0257725,0.09703538,0.15403964,0.08746662
3545,2017,3545_000000354517000091_alco-93017x10k.htm.txt,0.06915206,0.013231659,0.079894535,0.0064844545,0.096786514,0.01465709,0.028320806,0.03111537,0.052336838,0.0614021,0.032898806,0.04971082,0.09045801,0.027716141,0.03765759,0.043954544,0.014230413,0.06316016,0.12452845,0.062303606
4127,2017,4127_000000412717000033_fy1710k92917.htm.txt,0.03274476,0.010751064,0.05524662,0.016543135,0.05215275,0.02597442,0.036518168,0.082684495,0.06724164,0.050758123,0.07040729,0.01126699,0.09465244,0.045944598,0.074123755,0.08336545,0.007291385,0.022490352,0.12948878,0.030353803
