cik,year,file_name,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
1750,2016,1750_000104746916014299_a2228768z10-k.htm.txt,0.03191538,0.020091325,0.03163525,0.006966355,0.1458044,0.015303093,0.027654523,0.026577016,0.03853012,0.040147863,0.06287439,0.022799248,0.08583466,0.019443415,0.027595108,0.102252975,0.034607634,0.04594327,0.13808727,0.075936705
1800,2016,1800_000104746917000744_a2230875z10-k.htm.txt,0.022048097,0.019123707,0.02517807,0.02032144,0.08324023,0.13343827,0.042402577,0.07944383,0.018701147,0.060589533,0.03929435,0.036280435,0.039895777,0.030066008,0.04349627,0.09910223,0.034021128,0.042886887,0.099231526,0.031238476
2186,2016,2186_000165495417001579_rwc_10k.htm.txt,0.023605572,0.019781029,0.006520392,0.015155661,0.06383062,0.022933006,0.035659555,0.07517472,0.053168315,0.060256097,0.05167782,0.009319951,0.011280276,0.015315304,0.035186183,0.13804038,0.01155596,0.006782488,0.319176,0.025580702
2488,2016,2488_000000248817000043_amd-12312016x10k.htm.txt,0.053825755,0.023985721,0.037050106,0.024023453,0.071376346,0.041871276,0.032964278,0.047877662,0.043811414,0.041190226,0.08827072,0.034514338,0.061207887,0.062280126,0.033441518,0.07798549,0.007000989,0.05600991,0.107331514,0.05398129
2969,2016,2969_000119312516773346_d271291d10k.htm.txt,0.024687042,0.007204032,0.050978325,0.011732819,0.11793413,0.011747771,0.039190874,0.029557843,0.118433036,0.041982375,0.045372766,0.018472636,0.067912,0.022081664,0.08600611,0.10204556,0.008264069,0.045921665,0.11561184,0.03486349
3197,2016,3197_000156459017004264_cece-10k_20161231.htm.txt,0.04688128,0.020497868,0.09648837,0.012844554,0.09945026,0.010055929,0.023500396,0.04052082,0.050943695,0.04365367,0.070843436,0.030152656,0.12748867,0.0247026,0.0518791,0.06197463,0.009350393,0.044869937,0.07526758,0.058634136
3453,2016,3453_000155837017000947_matx-20161231x10k.htm.txt,0.028149301,0.034359362,0.07688393,0.012882441,0.09256481,0.015526457,0.050451282,0.020307949,0.03650735,0.10574953,0.03700294,0.025903877,0.11556333,0.021931464,0.06637193,0.028873427,0.026608909,0.052602515,0.096915185,0.054844018
3499,2016,3499_000000349917000004_alex10k2016.htm.txt,0.05115527,0.017203609,0.00769902,0.01609189,0.09227223,0.012890895,0.030685257,0.04049148,0.02218493,0.0406863,0.012717371,0.026080515,0.034683004,0.03938454,0.026396537,0.02949121,0.01804634,0.07067555,0.36849338,0.04267072
3545,2016,3545_000000354516000188_alco-93016x10k.htm.txt,0.08097714,0.012823962,0.097863935,0.003601356,0.11646921,0.009945497,0.025055075,0.025294272,0.041421175,0.053266477,0.024972498,0.049066287,0.078612655,0.030998148,0.051800247,0.044375952,0.009168055,0.07051597,0.11360373,0.060168374
4127,2016,4127_000000412716000068_fy1610k93016.htm.txt,0.037764467,0.010795111,0.05300157,0.015870554,0.059113566,0.025755925,0.03282494,0.085623994,0.06712695,0.052306443,0.07192595,0.013518939,0.0907116,0.04439531,0.071063496,0.08246072,0.007396662,0.025053615,0.124606155,0.028683987
