cik,year,file_name,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
1800,2018,1800_000104746919000624_a2237733z10-k.htm.txt,0.016741501,0.017243382,0.031538583,0.024212243,0.09519681,0.124890015,0.04132788,0.068478175,0.015279088,0.06527458,0.043181654,0.020691989,0.037920367,0.025776492,0.051973253,0.11521914,0.038803197,0.038255334,0.09148255,0.036513753
2178,2018,2178_000000217819000011_ae-20181231.htm.txt,0.01839805,0.030732226,0.070437685,0.014899866,0.09993737,0.015747147,0.024301227,0.025068408,0.13844217,0.07357869,0.025787774,0.013287416,0.08478997,0.019890007,0.030329043,0.07591376,0.019423336,0.03909801,0.08350394,0.0964339
2186,2018,2186_000165495419002033_bkti_10k.htm.txt,0.033480134,0.016280252,0.012107368,0.016210346,0.06802908,0.02294556,0.043277957,0.07009128,0.04607149,0.06441358,0.05497652,0.038582757,0.0071135545,0.017007688,0.034396045,0.12833859,0.009146614,0.004751725,0.28575134,0.027028142
2488,2018,2488_000000248819000011_amd-12292018x10k.htm.txt,0.046009544,0.020477416,0.034540158,0.029313821,0.0428124,0.038220864,0.03630238,0.050243195,0.05015817,0.06796228,0.097333185,0.02862107,0.035282597,0.06505439,0.041484438,0.08161731,0.0066309297,0.044471297,0.12633897,0.057125546
2969,2018,2969_000000296918000044_apd-10xkx30sep2018.htm.txt,0.03208183,0.008728663,0.09763247,0.0125215575,0.09761328,0.010049545,0.038372617,0.02070497,0.08657484,0.054041803,0.031154502,0.013271199,0.11683778,0.020166093,0.11292315,0.06590479,0.011248776,0.044800833,0.07732202,0.048049316
3197,2018,3197_000156459019006619_cece-10k_20181231.htm.txt,0.040166143,0.016540974,0.07875941,0.015751565,0.07786216,0.012924728,0.023532514,0.051940925,0.062871665,0.037340783,0.10009538,0.021816159,0.116647124,0.015639547,0.061648082,0.056375705,0.009523456,0.036870427,0.10303762,0.060655646
3499,2018,3499_000000349919000004_alx10-k123118.htm.txt,0.06309485,0.0225367,0.048798688,0.01983707,0.06241269,0.0094724735,0.033999953,0.02867661,0.019038105,0.089677535,0.012815971,0.025604464,0.069758765,0.05624825,0.050384685,0.023002015,0.025985653,0.09575888,0.1568,0.086096674
3545,2018,3545_000000354518000108_alco-93018x10k.htm.txt,0.094704986,0.012145801,0.059054453,0.009176785,0.08779827,0.014894856,0.025904993,0.026085677,0.054720666,0.06309165,0.031202376,0.064981736,0.073802456,0.029519752,0.047834028,0.04473367,0.0179715,0.058311183,0.12511079,0.058954403
3570,2018,3570_000000357019000030_cei2018form10-k.htm.txt,0.056973636,0.018396778,0.04402873,0.010453909,0.052208085,0.025059417,0.039132968,0.032290347,0.1216666,0.09378674,0.041919187,0.035419278,0.047941398,0.036485843,0.034307607,0.01633581,0.005823534,0.08501833,0.11563268,0.08711918
4127,2018,4127_000000412718000046_fy1810k92818.htm.txt,0.03366216,0.0088625,0.067421705,0.019909566,0.049603462,0.025803758,0.035148855,0.080471106,0.06525784,0.052741528,0.06984465,0.012439895,0.094180115,0.04616699,0.07067388,0.07777559,0.0067541115,0.024610078,0.12276722,0.035905007
4447,2018,4447_000156459019003671_hes-10k_20181231.htm.txt,0.035113007,0.030524092,0.053369828,0.019121824,0.12149404,0.024181135,0.028247781,0.015549156,0.13129118,0.04882844,0.032972373,0.021953205,0.10258358,0.032916732,0.08460162,0.041554682,0.010907641,0.06469109,0.05558851,0.04451012
4457,2018,4457_000000445719000024_march201910k.htm.txt,0.017832048,0.017781103,0.07247006,0.01967125,0.11918311,0.0063519645,0.038577333,0.033962872,0.035658583,0.044807263,0.038735267,0.012643893,0.086774305,0.024600398,0.051206503,0.076794036,0.04203307,0.112224735,0.06810706,0.08058516
4904,2018,4904_000000490419000009_aep10klegal20184q.htm.txt,0.033175837,0.024448333,0.054135293,0.05984696,0.017676283,0.019102136,0.02759319,0.04662057,0.15962128,0.097266555,0.05043999,0.025362317,0.03087805,0.026013177,0.019104492,0.04659315,0.00999322,0.070783496,0.10200044,0.07934522
5513,2018,5513_000000551319000004_unm12312018-10xk.htm.txt,0.026009155,0.037161518,0.09815658,0.014209727,0.04282119,0.011372891,0.021426523,0.036131855,0.0035293547,0.05702766,0.041750543,0.019530827,0.13341227,0.011167379,0.08259771,0.063968614,0.08402587,0.10553359,0.08460528,0.025561482
6176,2018,6176_000156459019008247_ap-10k_20181231.htm.txt,0.058496192,0.02770756,0.10696981,0.011261501,0.0557846,0.010870128,0.037680566,0.014007198,0.04910041,0.03486164,0.039033923,0.0255314,0.110697225,0.029183684,0.12543787,0.06128478,0.03453448,0.052880306,0.060255833,0.054420862
6201,2018,6201_000000620119000009_a10k123118.htm.txt,0.049663562,0.032450903,0.061040014,0.017769849,0.042060755,0.009051077,0.0528692,0.033047497,0.045693524,0.09044621,0.0437574,0.03784099,0.053516556,0.035402276,0.056960355,0.059243787,0.021705063,0.06453455,0.12498438,0.06796205
6207,2018,6207_000114420418039152_tv497791_10k.htm.txt,0.039063238,0.013505889,0.031946946,0.014431658,0.111736014,0.004153246,0.03512857,0.07437126,0.027499419,0.024068668,0.022600504,0.057704125,0.08804033,0.043704893,0.053517003,0.048943337,0.008952278,0.06464144,0.13077536,0.10521579
6951,2018,6951_000000695118000041_amat1028201810-kq42018.htm.txt,0.019741641,0.017290317,0.08394105,0.012456611,0.056451146,0.01371609,0.0185738,0.06388429,0.06996726,0.03583529,0.08321057,0.02144845,0.1024689,0.08526579,0.08228408,0.075635634,0.007993849,0.03790667,0.0809115,0.031017087
7623,2018,7623_000143774919001882_artw20181130_10k.htm.txt,0.03267729,0.031187072,0.04823613,0.013241945,0.11061316,0.019578109,0.06482278,0.040722262,0.08339138,0.018875368,0.080892876,0.031605594,0.050895765,0.024162743,0.017199501,0.13507642,0.008834931,0.03685278,0.031473126,0.11966081
8063,2018,8063_000000806319000009_atro-20181231.htm.txt,0.03306801,0.02042307,0.0686567,0.023142638,0.09685512,0.015757667,0.024085239,0.043726675,0.02747255,0.04541174,0.03871266,0.024031142,0.13059025,0.052265424,0.044626284,0.0850247,0.010931696,0.041567877,0.07521572,0.0984348
8146,2018,8146_000119312519102788_d662203d10k.htm.txt,0.020379689,0.024175955,0.032296624,0.026359545,0.10961193,0.017090613,0.032927666,0.05844494,0.047929686,0.040026266,0.086390354,0.03496048,0.05943656,0.017860798,0.056076832,0.09911919,0.0046516163,0.043350287,0.14673796,0.04217304
8177,2018,8177_000114036119006219_brhc10000339x1_10k.htm.txt,0.053818427,0.030813005,0.10956544,0.017149422,0.072105944,0.007587414,0.009705937,0.025470192,0.009442913,0.045962796,0.032573454,0.022253478,0.1659482,0.01380651,0.078871675,0.028980866,0.077444896,0.070113026,0.058569662,0.06981676
8504,2018,8504_000157570519000030_uavs_10k.htm.txt,0.09817207,0.01141703,0.02551542,0.018653538,0.027166495,0.06076918,0.021178328,0.103311926,0.046012674,0.033906117,0.08408866,0.051125057,0.03869255,0.046235483,0.01448925,0.06854878,0.013922426,0.014085745,0.19577593,0.02693336
8858,2018,8858_000000885818000047_avt-20180630x10k.htm.txt,0.038011905,0.016197909,0.063287616,0.011718696,0.12589535,0.0081384145,0.022776704,0.03572523,0.02310227,0.08672252,0.058781177,0.013169317,0.12675893,0.0073895957,0.11445809,0.04832455,0.013068157,0.054078814,0.08552673,0.04686801
8947,2018,8947_000000894719000058_azz201922810-k.htm.txt,0.041781142,0.03230125,0.0889823,0.013049043,0.058900636,0.005878287,0.016851189,0.037034377,0.048562717,0.057349797,0.06932648,0.023199948,0.09368884,0.019421281,0.0810427,0.043223564,0.011281258,0.03761286,0.10759049,0.11292181
9326,2018,9326_000162828019002288_bcpc-20181231x10xk.htm.txt,0.025502367,0.022914624,0.087267295,0.011521171,0.04963278,0.04240906,0.022583947,0.042538438,0.0731698,0.054375514,0.064295165,0.019129872,0.103195526,0.020802828,0.08782001,0.08517024,0.022122234,0.036819924,0.06366096,0.065068245
9389,2018,9389_000155837019000909_bll-20181231x10k.htm.txt,0.03346078,0.03081153,0.086653955,0.005860945,0.08680125,0.011182713,0.03874687,0.026682746,0.06268536,0.06886136,0.0399984,0.014434047,0.08480934,0.024300845,0.10921929,0.05452656,0.017310988,0.057041936,0.067010246,0.07960086
10254,2018,10254_000001025419000038_este-12312018x10kv2.htm.txt,0.04887403,0.021421324,0.057433072,0.013972526,0.036469392,0.014686943,0.028841408,0.028169662,0.16726975,0.1083536,0.02235161,0.042304464,0.107141145,0.033340175,0.04807602,0.021342508,0.007158961,0.036297407,0.12641017,0.030085836
10329,2018,10329_000143774919000960_bset20181124_10k.htm.txt,0.03453603,0.021133032,0.11047278,0.011781372,0.06730725,0.007963339,0.047706705,0.01987594,0.051042795,0.025754964,0.061837286,0.031462424,0.13158558,0.018463306,0.05185216,0.11446859,0.01466023,0.03262424,0.052233253,0.09323871
10456,2018,10456_000156459019003727_bax-10k_20181231.htm.txt,0.041892294,0.015363061,0.06957098,0.017781867,0.09935851,0.04180941,0.029845333,0.043046005,0.026403595,0.06333633,0.042035013,0.03827601,0.1014703,0.02702183,0.09387163,0.046737388,0.02433735,0.038718022,0.08086822,0.058256857
