cik,2017,2018,2019,2020,2021,2022,2016_num,2017_num,2018_num,2019_num,2020_num,2021_num,2022_num,2016_file,2017_file,2018_file,2019_file,2020_file,2021_file,2022_file
927653,0,0.02564102564102564,0,-0.05,-0.013157894736842105,-0.32,78000,78000,80000,80000,76000,75000,51000,927653_000092765317000007_mck_10kx3312017.htm.txt,927653_000092765318000010_mck_10kx3312018.htm.txt,927653_000092765319000009_mck_10kx3312019.htm.txt,927653_000092765320000033_mck10k3312020.htm.txt,927653_000092765321000039_mck-20210331.htm.txt,927653_000092765322000051_mck-20220331.htm.txt,927653_000092765323000038_mck-20230331.htm.txt
1780312,,,,,,-0.11398963730569948,,,,,,386,342,,,,,,1780312_000095017022005212_asts-20211231.htm.txt,1780312_000095017023011124_asts-20221231.htm.txt
1166003,0.09195402298850575,0.05263157894736842,0,0.02,-0.5882352941176471,-0.09523809523809523,87000,95000,100000,100000,102000,42000,38000,1166003_000162828017001912_xpo201610-k.htm.txt,1166003_000116600318000022_xpo201710-k.htm.txt,1166003_000116600319000021_xpo201810-k.htm.txt,1166003_000116600320000028_xpo201910-k.htm.txt,1166003_000116600321000023_xpo-20201231.htm.txt,1166003_000116600322000024_xpo-20211231.htm.txt,1166003_000116600323000017_xpo-20221231.htm.txt
936468,0.030927835051546393,0.05,0.047619047619047616,0.03636363636363636,0,0.017543859649122806,97000,100000,105000,110000,114000,114000,116000,936468_000119312517036192_d290249d10k.htm.txt,936468_000093646818000009_lmtq4201710k.htm.txt,936468_000093646819000009_lmtq4201810k.htm.txt,936468_000093646820000016_lmtq4201910k.htm.txt,936468_000093646821000013_lmt-20201231.htm.txt,936468_000093646822000008_lmt-20211231.htm.txt,936468_000093646823000009_lmt-20221231.htm.txt
1684144,,0.35,0.037037037037037035,-0.32142857142857145,1.4736842105263157,0.8085106382978723,,20,27,28,19,47,85,,1684144_000117184318001549_f10k_022818p.htm.txt,1684144_000117184319001229_f10k_022619p.htm.txt,1684144_000117184320001304_f10k_022620p.htm.txt,1684144_000117184321001378_f10k_022621p.htm.txt,1684144_000165495422002343_zom_10k.htm.txt,1684144_000155837023003899_zom-20221231x10k.htm.txt
1039065,-0.014366341713699333,0.05622071837584591,0.09528503367833087,0.013649317534123294,0.002959455460195324,-0.07081735025081144,5847,5763,6087,6667,6758,6778,6298,1039065_000104746916015059_a2229501z10-k.htm.txt,1039065_000104746917005596_a2232548z10-k.htm.txt,1039065_000104746918005819_a2236541z10-k.htm.txt,1039065_000104746919004853_a2239525z10-k.htm.txt,1039065_000110465920097650_osis-20200630x10k.htm.txt,1039065_000110465921108619_osis-20210630x10k.htm.txt,1039065_000110465922092999_osis-20220630x10k.htm.txt
1106644,-0.23116883116883116,-0.14864864864864866,-0.03968253968253968,0.024793388429752067,-0.008064516129032258,-0.008130081300813009,385,296,252,242,248,246,244,1106644_000101054917000112_cphi10k123116.htm.txt,1106644_000121390018003895_f10k2017_chinapharma.htm.txt,1106644_000121390019005094_f10k2018_chinapharmahold.htm.txt,1106644_000121390020008020_f10k2019_chinapharmahold.htm.txt,1106644_000121390021017981_f10k2020_chinapharma.htm.txt,1106644_000121390022016151_f10k2021_chinapharma.htm.txt,1106644_000121390023024710_f10k2022_chinapharma.htm.txt
1585689,-0.03550295857988166,0.03680981595092025,0.023668639053254437,-0.18497109826589594,0.0070921985815602835,0.11971830985915492,169000,163000,169000,173000,141000,142000,159000,1585689_000158568917000038_a2016hwh10-knospin.htm.txt,1585689_000158568918000033_a2017hwh10-k.htm.txt,1585689_000158568919000034_q42018hwh10-k.htm.txt,1585689_000158568920000013_hlt-20191231.htm.txt,1585689_000158568921000016_hlt-20201231.htm.txt,1585689_000158568922000013_hlt-20211231.htm.txt,1585689_000158568923000036_hlt-20221231.htm.txt
1067294,0,0,0,-0.2465753424657534,0.2727272727272727,0.04285714285714286,73000,73000,73000,73000,55000,70000,73000,1067294_000114036116080733_form10k.htm.txt,1067294_000114036117036195_form10k.htm.txt,1067294_000114036118039529_form10k.htm.txt,1067294_000114036119017413_form10k.htm.txt,1067294_000114036120021571_brhc10015333_10k.htm.txt,1067294_000114036121032472_brhc10029140_10k.htm.txt,1067294_000114036122034827_brhc10042146_10k.htm.txt
1826397,,,,,,0.15384615384615385,,,,,,13,15,,,,,,1826397_000149315222008083_form10-k.htm.txt,1826397_000149315223007486_form10-k.htm.txt
